iter	Passed	Remaining
1197	24263	178270
1198	24285	178263
1199	24307	178254
1200	24333	178275
1201	24370	178378
1202	24415	178537
1203	24447	178604
1204	24522	178984
1205	24551	179026
1206	24573	179018
1207	24595	179009
1208	24601	178885
1209	24622	178870
1210	24647	178880
1211	24670	178882
1212	24698	178913
1213	24724	178934
1214	24742	178900
1215	24763	178881
1216	24780	178836
1217	24804	178845
1218	24826	178837
1219	24850	178842
1220	24872	178830
1221	24892	178809
1222	24913	178797
1223	24936	178791
1224	24965	178837
1225	24973	178722
1226	25007	178804
1227	25022	178745
1228	25036	178678
1229	25050	178610
1230	25052	178462
1231	25075	178461
1232	25106	178513
1233	25129	178516
1234	25146	178469
1235	25166	178447
1236	25184	178406
1237	25203	178379
1238	25224	178362
1239	25226	178214
1240	25244	178177
1241	25266	178164
1242	25287	178149
1243	25310	178149
1244	25334	178155
1245	25361	178178
1246	25384	178179
1247	25408	178182
1248	25434	178202
1249	25481	178372
1250	25514	178441
1251	25545	178489
1252	25571	178511
1253	25590	178477
1254	25620	178526
1255	25626	178403
1256	25627	178249
1257	25634	178138
1258	25654	178111
1259	25659	177989
1260	25677	177948
1261	25693	177899
1262	25711	177860
1263	25729	177827
1264	25761	177884
1265	25787	177903
1266	25821	177981
1267	25847	177998
1268	25869	177990
1269	25891	177977
1270	25913	177970
1271	25933	177946
1272	25953	177922
1273	25976	177919
1274	25998	177914
1275	26021	177908
1276	26045	177912
1277	26070	177921
1278	26073	177781
1279	26097	177788
1280	26119	177777
1281	26160	177902
1282	26198	177998
1283	26221	177998
1284	26228	177882
1285	26249	177866
1286	26270	177853
1287	26294	177856
1288	26317	177852
1289	26339	177842
1290	26358	177812
1291	26380	177804
1292	26403	177796
1293	26424	177786
1294	26446	177773
1295	26471	177782
1296	26489	177748
1297	26509	177724
1298	26531	177711
1299	26554	177712
1300	26578	177717
1301	26610	177768
1302	26615	177648
1303	26640	177659
1304	26662	177648
1305	26685	177642
1306	26707	177633
1307	26727	177614
1308	26728	177464
1309	26757	177501
1310	26786	177537
1311	26813	177557
1312	26815	177417
1313	26861	177560
1314	26893	177617
1315	26917	177624
1316	26941	177624
1317	26965	177631
1318	26995	177669
1319	27030	177745
1320	27055	177754
1321	27077	177744
1322	27101	177744
1323	27129	177777
1324	27152	177773
1325	27178	177787
1326	27215	177875
1327	27247	177931
1328	27293	178074
1329	27331	178166
1330	27359	178197
1331	27374	178136
1332	27402	178168
1333	27429	178187
1334	27457	178214
1335	27491	178285
1336	27519	178313
1337	27540	178295
1338	27565	178298
1339	27588	178294
1340	27623	178368
1341	27628	178247
1342	27651	178243
1343	27675	178242
1344	27704	178278
1345	27725	178260
1346	27749	178260
1347	27774	178265
1348	27792	178232
1349	27810	178193
1350	27828	178155
1351	27846	178121
1352	27848	177982
1353	27871	177972
1354	27889	177939
1355	27907	177901
1356	27925	177862
1357	27942	177819
1358	27959	177777
1359	27981	177762
1360	28002	177745
1361	28027	177751
1362	28050	177747
1363	28073	177746
1364	28098	177752
1365	28122	177753
1366	28144	177738
1367	28154	177651
1368	28177	177647
1369	28201	177649
1370	28229	177674
1371	28232	177542
1372	28255	177538
1373	28277	177527
1374	28296	177494
1375	28315	177466
1376	28333	177429
1377	28352	177398
1378	28374	177384
1379	28391	177343
1380	28408	177299
1381	28427	177272
1382	28447	177244
1383	28464	177201
1384	28482	177166
1385	28500	177131
1386	28518	177092
1387	28536	177059
1388	28554	177020
1389	28572	176986
1390	28592	176962
1391	28617	176969
1392	28636	176935
1393	28646	176851
1394	28663	176810
1395	28683	176788
1396	28702	176753
1397	28711	176661
1398	28728	176620
1399	28745	176582
1400	28750	176466
1401	28767	176423
1402	28786	176391
1403	28804	176354
1404	28822	176320
1405	28845	176315
1406	28867	176304
1407	28890	176299
1408	28912	176283
1409	28934	176274
1410	28956	176263
1411	28983	176284
1412	28997	176220
1413	29021	176222
1414	29042	176206
1415	29066	176202
1416	29084	176168
1417	29101	176128
1418	29120	176094
1419	29138	176062
1420	29161	176055
1421	29188	176075
1422	29207	176045
1423	29227	176022
1424	29248	176002
1425	29265	175964
1426	29287	175952
1427	29312	175956
1428	29353	176058
1429	29381	176083
1430	29414	176140
1431	29441	176153
1432	29465	176153
1433	29501	176228
1434	29526	176234
1435	29562	176304
1436	29590	176327
1437	29627	176404
1438	29661	176466
1439	29691	176497
1440	29707	176453
1441	29737	176487
1442	29768	176527
1443	29792	176526
1444	29816	176528
1445	29861	176651
1446	29908	176786
1447	29962	176960
1448	30016	177136
1449	30085	177399
1450	30107	177386
1451	30155	177525
1452	30183	177546
1453	30211	177572
1454	30263	177733
1455	30301	177811
1456	30330	177842
1457	30357	177854
1458	30401	177970
1459	30423	177958
1460	30446	177950
1461	30468	177932
1462	30489	177913
1463	30514	177918
1464	30548	177971
1465	30590	178078
1466	30658	178330
1467	30674	178277
1468	30701	178297
1469	30730	178322
1470	30732	178187
1471	30791	178388
1472	30845	178561
1473	30919	178844
1474	30957	178924
1475	30996	179008
1476	31054	179201
1477	31083	179223
